id,userId,items,total,status,orderType,customerName,phone,email,createdAt,tableNumber,paymentType,paymentId
order-1,user-1,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":2,""note"":"""",""selectedPortion"":""Regular""}]",25.98,Completed,Dine-in,Alice Johnson,1112223333,alice@example.com,1970-01-01T00:00:00.000Z,T5,Card,txn_123
order-2,user-2,"[{""menuItemId"":""item-2"",""name"":""Spaghetti Carbonara"",""quantity"":2,""price"":15.5,""selectedPortion"":""Fixed""},{""menuItemId"":""item-5"",""name"":""Coca-Cola"",""quantity"":2,""price"":2.5,""selectedPortion"":""Fixed""}]",36,Preparing,Takeaway,Bob Williams,4445556666,bob@example.com,1970-01-01T00:00:00.000Z,,Pending,
POS-49EC7A66,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""}]",12.99,Preparing,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,,Pending,
POS-1E99B178,user-superadmin-001,"[{""menuItemId"":""item-3"",""name"":""Chicken Caesar Salad"",""price"":10.25,""quantity"":1,""selectedPortion"":""Fixed""},{""menuItemId"":""item-2"",""name"":""Spaghetti Carbonara"",""price"":15.5,""quantity"":1,""selectedPortion"":""Fixed""}]",25.75,Pending,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,Dev SuperAdmin,,
POS-8EB205F9,user-superadmin-001,"[{""menuItemId"":""item-3"",""name"":""Chicken Caesar Salad"",""price"":10.25,""quantity"":1,""selectedPortion"":""Fixed""},{""menuItemId"":""item-5"",""name"":""Coca-Cola"",""price"":2.5,""quantity"":1,""selectedPortion"":""Fixed""},{""menuItemId"":""item-2"",""name"":""Spaghetti Carbonara"",""price"":15.5,""quantity"":1,""selectedPortion"":""Fixed""}]",28.25,Preparing,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,,,
POS-7B57DE37,user-superadmin-001,"[{""menuItemId"":""item-2"",""name"":""Spaghetti Carbonara"",""price"":15.5,""quantity"":1,""selectedPortion"":""Fixed""}]",15.5,Preparing,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,,,
POS-F60F7E69,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""selectedPortion"":""Regular""}]",12.99,Preparing,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,Dev SuperAdmin,,
POS-D04B219F,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""selectedPortion"":""Regular""},{""menuItemId"":""item-5"",""name"":""Coca-Cola"",""price"":2.5,""quantity"":1,""selectedPortion"":""Fixed""}]",15.49,Preparing,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,Dev SuperAdmin,,
POS-1E76B522,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""},{""menuItemId"":""item-2"",""name"":""Spaghetti Carbonara"",""price"":15.5,""quantity"":1,""note"":"""",""selectedPortion"":""Fixed""}]",28.490000000000002,Cancelled,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,Tes1,Pending,
POS-32D54542,user-superadmin-001,"[{""menuItemId"":""item-2"",""name"":""Spaghetti Carbonara"",""price"":15.5,""quantity"":1,""note"":"""",""selectedPortion"":""Fixed""}]",15.5,Cancelled,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,,Pending,
POS-4A960C76,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""}]",12.99,Cancelled,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,,Pending,
POS-796141F1,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""}]",12.99,Cancelled,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,Tes1,Pending,
POS-36A44490,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""}]",12.99,Cancelled,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,,Pending,
POS-01097B7D,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""}]",12.99,Cancelled,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,,Pending,
POS-329F1CE0,user-superadmin-001,"[{""menuItemId"":""item-3"",""name"":""Chicken Caesar Salad"",""price"":10.25,""quantity"":1,""note"":"""",""selectedPortion"":""Fixed""},{""menuItemId"":""item-5"",""name"":""Coca-Cola"",""price"":2.5,""quantity"":1,""note"":"""",""selectedPortion"":""Fixed""}]",12.75,Cancelled,Dine-in,Walk-in Guest,,,1970-01-01T00:00:00.000Z,Tes1,Pending,
POS-A45370A5,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":2,""note"":"""",""selectedPortion"":""Regular""}]",25.98,Out for Delivery,Dine-in,Walk-in Guest,,,2025-07-20T03:57:01.326Z,Tes1,Cash,
POS-1B5B5DC3,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""}]",12.99,Out for Delivery,Dine-in,Walk-in Guest,,,2025-07-20T04:07:10.275Z,,Pending,
POS-97A51D86,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""}]",12.99,Cancelled,Dine-in,Walk-in Guest,,,2025-07-20T04:19:59.421Z,,Online,
POS-68715C1F,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""note"":"""",""selectedPortion"":""Regular""}]",12.99,Completed,Dine-in,Walk-in Guest,,,2025-07-20T04:29:21.680Z,Tes1,Card,
POS-8F5D49A3,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":2,""note"":"""",""selectedPortion"":""Regular""}]",25.98,Completed,Dine-in,Walk-in Guest,,,2025-07-21T01:47:46.478Z,Tes1,Online,
POS-D79BA26A,user-superadmin-001,"[{""menuItemId"":""item-1"",""name"":""Margherita Pizza"",""price"":12.99,""quantity"":1,""selectedPortion"":""Regular""}]",12.99,Preparing,Dine-in,Walk-in Guest,,,2025-07-23T07:32:26.545Z,,,
